"Username","GivenName","Surname","DisplayName","Lifecycle","Class","Title","OrgUnit","Manager","Groups","EmployeeNumber","EmployeeType","LoginShell","HomeDirectory","Phone","Mobile","Street","City","State","PostalCode","PreferredLanguage","UserAuthType","PasswordState","PrincipalExpiresInDays","SshPublicKeys","CertMapData","RadiusProxy","RadiusUsername","IdentityProvider","IdpUserId","NoPrivateGroup","PrimaryGroup","Tier","Purpose"
"chrisjohns","Chris","Johnson","Chris A. Johnson","Active","employee","Salesperson","Sales Engagement Management","aprils","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessengineering","EMP272","Full-time","/bin/bash","","(206) 555-9004","(206) 555-9005","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales Engagement Management)"
"chrism","Chris","McGurk","Chris McGurk","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP118","Contractor","/bin/bash","","(206) 555-1833","(206) 555-1834","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"chrisn","Chris","Norred","Chris Norred","Active","employee","Project Manager","Project Management","alans","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP004","Full-time","/bin/bash","","(206) 555-1931","(206) 555-1932","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"christg","Christa","Geller","Christa Geller","Active","employee","CVP of Online","Executive","jeffh","all-staff;allemployees;fulltimeemployees;executives;seattlemainoffice;vpsandabove;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP013","Full-time","/bin/bash","","(425) 555-0177","(425) 555-0178","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Executive)"
"christj","Christian","Jene","Christian Jene","Active","employee","Marketing Specialist","Marketing","kellyk","all-staff;allemployees;fulltimeemployees;marketing;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;workstationusers;printeraccessmain","EMP255","Full-time","/bin/bash","","(206) 555-8834","(206) 555-8835","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Marketing)"
"christk","Christine","Koch","Christine Koch","Active","employee","Managing Director","Engineering","adamb","all-staff;allemployees;fulltimeemployees;engineering;seattleengineeringoffice;directors;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;developmenttools","EMP006","Full-time","/bin/bash","","(206) 555-2987","(206) 555-2988","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering)"
"christopherm","Christopher","Miller","Christopher Miller","Disabled","employee","Former Network Administrator","IT Support","arturol","all-staff;allemployees;fulltimeemployees;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;wifiusers","EMP286","Full-time","/bin/bash","","(206) 555-7027","(206) 555-7028","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (IT Support)"
"christr","Christian","Rytt","Christian Rytt","Active","employee","Project Manager","Project Management","chrisn","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testenterpriseadmins","EMP171","Full-time","/bin/bash","","(206) 555-5488","(206) 555-5489","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"cliffd","Cliff","Diddier","Cliff Diddier","Active","employee","Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessengineering","EMP064","Full-time","/bin/bash","","(206) 555-3748","(206) 555-3749","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"corinnb","Corinna","Bolender","Corinna Bolender","Active","employee","Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP131","Full-time","/bin/bash","","(206) 555-9821","(206) 555-9822","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"danb","Dan","Bacon","Dan Bacon","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP119","Contractor","/bin/bash","","(206) 555-2464","(206) 555-2465","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"danh","Dan","Hough","Dan Hough","Active","employee","Salesperson","Sales","arthury","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP215","Full-time","/bin/bash","","(607) 555-4568","(607) 555-4569","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"danield","Daniel","Durrer","Daniel Durrer","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP120","Contractor","/bin/bash","","(206) 555-8793","(206) 555-8794","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"danj","Dan","Jump","Dan Jump","Active","employee","CEO","Executive","","all-staff;allemployees;fulltimeemployees;executives;seattlemainoffice;clevel;vpsandabove;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;workstationusers;printeraccessmain","EMP001","Full-time","/bin/bash","","(425) 555-0179","(425) 555-0179","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Executive)"
"dannio","Danni","Ortman","Danni Ortman","Active","employee","Senior Project Manager","Project Management","andrewm","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;developmenttools","EMP178","Full-time","/bin/bash","","(206) 555-6667","(206) 555-6668","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"danp","Dan","Park","Dan Park","Active","employee","Vice President NA Sales","Sales","adamb","all-staff;allemployees;fulltimeemployees;sales;houstonoffice;vpsandabove;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;wifiusers","EMP009","Full-time","/bin/bash","","(713) 555-6563","(713) 555-6564","321 Sales Tower","Houston","TX","77001","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"daven","Dave","Natsuhara","Dave Natsuhara","Active","employee","Project Manager","Project Management","chrisn","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testenterpriseadmins","EMP170","Full-time","/bin/bash","","(206) 555-9299","(206) 555-9300","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"davidb","David","Bossard","David Bossard","Active","employee","Salesperson","Sales","aprils","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;printeraccessengineering","EMP226","Full-time","/bin/bash","","(206) 555-1422","(206) 555-1423","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"davidb1","David","Bradley","David Bradley","Active","employee","Manager","Operations","bens","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP247","Full-time","/bin/bash","","(206) 555-5934","(206) 555-5935","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
"davidb2","David","Brown","David Brown","Disabled","contractor","Former Junior Accountant","Accounting","karimm","contractors;allcontractors;contractworkers;accounting;seattlefinanceoffice","EMP276","Contractor","/bin/bash","","(206) 555-7007","(206) 555-7008","789 Financial Center","Seattle","WA","98103","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Accounting)"
"davidd","David","Derwin","David Derwin","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP092","Contractor","/bin/bash","","(206) 555-7749","(206) 555-7750","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"davidh","David","Hamilton","David Hamilton","Active","employee","CRM Consultant","Content Management Consulting","stano","all-staff;allemployees;fulltimeemployees;contentmanagement;londonoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP056","Full-time","/bin/bash","","(20) 5555-7963","","100 London Bridge St","London","UK","SE1 9SG","en-GB","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Content Management Consulting)"
"davidm","David","Maman","David Maman","Active","employee","Strategy Consulting Manager","Strategy Consulting","christk","all-staff;allemployees;fulltimeemployees;strategyconsulting;newyorkoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;workstationusers","EMP015","Full-time","/bin/bash","","(212) 555-2867","(212) 555-2868","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"davids","David","Simpson","David Simpson","Active","employee","Sales Manager","Sales Engagement Management","alanb","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;developmenttools","EMP017","Full-time","/bin/bash","","(206) 555-1123","(206) 555-1124","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales Engagement Management)"
"davids1","David","So","David So","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP096","Contractor","/bin/bash","","(206) 555-1459","(206) 555-1460","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"davidw","David","Wright","David Wright","Active","employee","Salesperson","Sales","davids","all-staff;allemployees;fulltimeemployees;sales;atlantaoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;wifiusers","EMP160","Full-time","/bin/bash","","(404) 555-9264","(404) 555-9265","678 Peachtree St","Atlanta","GA","30309","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"davidz","David","Zazzo","David Zazzo","Active","employee","Managing Director","Engineering Operations","adamb","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;directors;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testenterpriseadmins","EMP045","Full-time","/bin/bash","","(206) 555-4122","(206) 555-4123","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"denisd","Denis","Dehenne","Denis Dehenne","Active","employee","Project Manager","Project Management","barryj","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP159","Full-time","/bin/bash","","(206) 555-6492","(206) 555-6493","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"dianeg","Diane","Glimp","Diane Glimp","Active","employee","Content Management Consultant","Content Management Consulting","stano","all-staff;allemployees;fulltimeemployees;contentmanagement;newyorkoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP152","Full-time","/bin/bash","","(212) 555-3984","(212) 555-3985","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Content Management Consulting)"
"dianep","Diane","Prescott","Diane Prescott","Active","employee","Director of Ad Sales","Marketing","mollyc","all-staff;allemployees;fulltimeemployees;marketing;seattlemainoffice;directors;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP028","Full-time","/bin/bash","","(425) 555-0164","(425) 555-0165","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Marketing)"
"dianet","Diane","Tibbot","Diane Tibbot","Active","employee","CFO of Professional Services","Operations","adamb","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;clevel;vpsandabove;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;workstationusers","EMP005","Full-time","/bin/bash","","(206) 555-9327","(206) 555-9328","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
"dominip","Dominik","Paiha","Dominik Paiha","Active","employee","Salesperson","Sales","joses","all-staff;allemployees;fulltimeemployees;sales;newyorkoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;developmenttools","EMP214","Full-time","/bin/bash","","(212) 555-2538","(212) 555-2539","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"donf","Don","Funk","Don Funk","Active","employee","Project Manager","Project Management","chrisn","all-staff;allemployees;fulltimeemployees;projectmanagement;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;wifiusers;zrichsiteaccess","EMP169","Full-time","/bin/bash","","(206) 555-6561","(206) 555-6562","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Project Management)"
"donh","Don","Hall","Don Hall","Active","employee","Strategy Consultant","Strategy Consulting","ellena","all-staff;allemployees;fulltimeemployees;strategyconsulting;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testenterpriseadmins","EMP084","Full-time","/bin/bash","","(206) 555-3518","(206) 555-3519","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"doughm","Dough","Mahugh","Dough Mahugh","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP115","Contractor","/bin/bash","","(206) 555-7139","(206) 555-7140","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"eduardd","Eduard","Dell","Eduard Dell","Active","employee","Regional Sales Manager","Sales","jackc","all-staff;allemployees;fulltimeemployees;sales;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP019","Full-time","/bin/bash","","(360) 555-4638","(360) 555-4639","101 Tech Park Way","Bellevue","WA","98004","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"elizaba","Elizabeth","Andersen","Elizabeth Andersen","Active","employee","Salesperson","Sales","arthury","all-staff;allemployees;fulltimeemployees;sales;bostonoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;executiveflooraccess","EMP158","Full-time","/bin/bash","","(617) 555-7395","(617) 555-7396","345 Beacon St","Boston","MA","02116","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"ellena","Ellen","Adams","Ellen Adams","Active","employee","Strategy Consulting Manager","Strategy Consulting","christk","all-staff;allemployees;fulltimeemployees;strategyconsulting;newyorkoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP043","Full-time","/bin/bash","","(212) 555-1397","(212) 555-1398","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"emilyr","Emily","Rodriguez","Emily Rodriguez","Active","intern","HR Intern","Human Resources","amya","all-staff;allinterns;internemployees;humanresources;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers","INT003","Intern","/bin/bash","","(206) 555-9104","(206) 555-9105","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Human Resources)"
"eranh","Eran","Harel","Eran Harel","Active","employee","Salesperson","Sales","joses","all-staff;allemployees;fulltimeemployees;sales;losangelesoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP204","Full-time","/bin/bash","","(213) 555-1265","(213) 555-1266","567 Sunset Blvd","Los Angeles","CA","90028","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"erica","Erik","Andersen","Erik Andersen","Active","employee","Content Management Consultant","Content Management Consulting","stano","all-staff;allemployees;fulltimeemployees;contentmanagement;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;zrichsiteaccess","EMP130","Full-time","/bin/bash","","(206) 555-6448","(206) 555-6449","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Content Management Consulting)"
"ericg","Eric","Gruber","Eric Gruber","Active","employee","Salesperson","Sales","lenea","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;testenterpriseadmins","EMP211","Full-time","/bin/bash","","(206) 555-4629","(206) 555-4630","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"erikac","Erika","Cheley","Erika Cheley","Active","employee","Manager","Operations","bens","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP047","Full-time","/bin/bash","","(206) 555-1242","(206) 555-1243","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
"erikg","Erik","Gubbels","Erik Gubbels","Active","employee","Salesperson","Sales","aprils","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;executiveflooraccess","EMP213","Full-time","/bin/bash","","(425) 555-9296","(425) 555-9297","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"erwinz","Erwin","Zischka","Erwin Zischka","Active","employee","Engineer","Engineering Operations","carolt","all-staff;allemployees;fulltimeemployees;engineeringoperations;seattleengineeringoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP240","Full-time","/bin/bash","","(206) 555-8835","(206) 555-8836","456 Innovation Drive","Seattle","WA","98102","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Engineering Operations)"
"estherv","Esther","Valle","Esther Valle","Active","employee","Content Management Consultant","Content Management Consulting","stano","all-staff;allemployees;fulltimeemployees;contentmanagement;londonoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP062","Full-time","/bin/bash","","(20) 5555-8548","","100 London Bridge St","London","UK","SE1 9SG","en-GB","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Content Management Consulting)"
"euang","Euan","Garden","Euan Garden","Active","employee","Salesperson","Sales Engagement Management","aprils","all-staff;allemployees;fulltimeemployees;sales;richmondoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP203","Full-time","/bin/bash","","(804) 555-3383","(804) 555-3384","456 Capitol St","Richmond","VA","23219","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales Engagement Management)"
"fabricc","Fabrice","Canel","Fabrice Canel","Active","employee","Salesperson","Sales Engagement Management","arthury","all-staff;allemployees;fulltimeemployees;sales;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;zrichsiteaccess","EMP196","Full-time","/bin/bash","","(214) 555-8815","(214) 555-8816","890 Commerce St","Dallas","TX","75202","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales Engagement Management)"
"felipem","Felipe","Martins","Felipe Martins","Active","employee","Marketing Specialist","Marketing","kellyk","all-staff;allemployees;fulltimeemployees;marketing;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;projectfileaccess","EMP256","Full-time","/bin/bash","","(206) 555-2312","(206) 555-2313","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Marketing)"
"francoisl","François","Lefèvre","François Lefèvre","Active","employee","Financial Analyst","Accounting","karimm","all-staff;allemployees;fulltimeemployees;accounting;seattlefinanceoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP290","Full-time","/bin/bash","","(206) 555-0315","(206) 555-0316","789 Finance Center","Seattle","WA","98103","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Accounting)"
"frankm","Frank","Miller","Frank Miller","Active","employee","Strategy Consultant","Strategy Consulting","davidm","all-staff;allemployees;fulltimeemployees;strategyconsulting;newyorkoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;executiveflooraccess","EMP073","Full-time","/bin/bash","","(212) 555-5231","(212) 555-5232","456 Madison Ave","New York","NY","10022","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Strategy Consulting)"
"frankm1","Frank","Martinez","Frank Martinez","Active","employee","COO","Executive","danj","all-staff;allemployees;fulltimeemployees;executives;seattlemainoffice;clevel;vpsandabove;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP007","Full-time","/bin/bash","","(425) 555-0121","(425) 555-0122","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Executive)"
"garethc","Gareth","Chan","Gareth Chan","Active","employee","Content Management Consultant","Content Management Consulting","stano","all-staff;allemployees;fulltimeemployees;contentmanagement;londonoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP054","Full-time","/bin/bash","","(20) 5555-5894","","100 London Bridge St","London","UK","SE1 9SG","en-GB","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Content Management Consulting)"
"garthf","Garth","Fort","Garth Fort","Active","employee","HR Manager","Human Resources","karimm","all-staff;allemployees;fulltimeemployees;humanresources;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP011","Full-time","/bin/bash","","(206) 555-8258","(206) 555-8259","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Human Resources)"
"ginab","Gina","Boyer","Gina Boyer","Active","employee","Salesperson","Sales","arthury","all-staff;allemployees;fulltimeemployees;sales;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;zrichsiteaccess","EMP224","Full-time","/bin/bash","","(509) 555-3766","(509) 555-3767","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Sales)"
"gregw","Greg","Winston","Greg Winston","Active","employee","President of Management","Senior Management","jeffh","all-staff;allemployees;fulltimeemployees;seniormanagement;seattlemainoffice;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess;projectfileaccess","EMP187","Full-time","/bin/bash","","(425) 555-0140","(425) 555-0141","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Senior Management)"
"guidop","Guido","Pica","Guido Pica","Active","contractor","Project Manager","1099 Contractor","briang","contractors;allcontractors;contractworkers;seattlemainoffice;managers","EMP104","Contractor","/bin/bash","","(206) 555-4724","(206) 555-4725","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (1099 Contractor)"
"hansg","Hans","Gufler","Hans Gufler","Active","employee","Manager","Operations","bens","all-staff;allemployees;fulltimeemployees;operations;seattlemainoffice;managers;emailusers;calendarusers;internetaccessbasic;conferenceroombooking;fileshareusers;internetaccessfull;expensesystemaccess","EMP246","Full-time","/bin/bash","","(206) 555-1298","(206) 555-1299","123 Corporate Plaza","Seattle","WA","98101","en-US","","None","","","","","","","","FALSE","","Bulk","Bulk directory volume, mapped from the AD provider (Operations)"
