"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office","EmployeeID","Description","StreetAddress","MobilePhone","EmployeeType","City","State","PostalCode"
"CRM Strategy","CN=Tad Orman","True","Tad","tado","CN=Syed Abbas","Tad Orman","user","dbf9f74b-86a4-4341-aaca-49c7ccbe7485","(20) 5555-4625","tado","S-1-5-21-331390976-2650875657-2422772959-1775","Orman","Orman","CRM Consultant","","London - International","EMP071","CRM Consultant in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"CRM Strategy","CN=Jeff Williams","True","Jeff","jeffw","CN=Syed Abbas","Jeff Williams","user","b739469e-df71-454e-ac05-3fc3e8baeeaf","(20) 5555-2592","jeffw","S-1-5-21-331390976-2650875657-2422772959-1776","Williams","Williams","CRM Consultant","","London - International","EMP072","CRM Consultant in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Strategy Consulting","CN=Frank Miller","True","Frank","frankm","CN=David Maman","Frank Miller","user","dece205a-6795-433d-99a3-2ba2f993cfff","(212) 555-5231","frankm","S-1-5-21-331390976-2650875657-2422772959-1777","Miller","Miller","Strategy Consultant","","New York - Strategy","EMP073","Strategy Consultant in Strategy Consulting department","456 Madison Ave","(212) 555-5232","Full-time","New York","NY","10022"
"Strategy Consulting","CN=William Vong","True","William","williav","CN=Cesar Garcia","William Vong","user","cc0fab94-80c4-40c6-bad2-e9cf5eef6f2b","(212) 555-5864","williav","S-1-5-21-331390976-2650875657-2422772959-1778","Vong","Vong","Strategy Consultant","","New York - Strategy","EMP074","Strategy Consultant in Strategy Consulting department","456 Madison Ave","(212) 555-5865","Full-time","New York","NY","10022"
"Strategy Consulting","CN=Sameer Tejani","True","Sameer","sameert","CN=Ellen Adams","Sameer Tejani","user","d0195cfd-7e9a-4ee8-b838-ec43edba4c68","(212) 555-5422","sameert","S-1-5-21-331390976-2650875657-2422772959-1779","Tejani","Tejani","Strategy Consultant","","New York - Strategy","EMP075","Strategy Consultant in Strategy Consulting department","456 Madison Ave","(212) 555-5423","Full-time","New York","NY","10022"
"Strategy Consulting","CN=Jon Jaffe","True","Jon","jonj","CN=Brad Sutton","Jon Jaffe","user","be7519a0-a110-4627-914f-03038b7bc4d1","(206) 555-5499","jonj","S-1-5-21-331390976-2650875657-2422772959-1780","Jaffe","Jaffe","Strategy Consultant","","Seattle - Main","EMP076","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-5500","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Mike Ray","True","Mike","miker","CN=David Maman","Mike Ray","user","c70fcbcf-e7bc-4e23-bd15-139963b85547","(212) 555-1665","miker","S-1-5-21-331390976-2650875657-2422772959-1781","Ray","Ray","Strategy Consultant","","New York - Strategy","EMP077","Strategy Consultant in Strategy Consulting department","456 Madison Ave","(212) 555-1666","Full-time","New York","NY","10022"
"Content Management Consulting","CN=Robert O'Hara","True","Robert","roberto","CN=Stan Orme","Robert O'Hara","user","559cc2f4-1762-40a0-9d58-cd724781215c","(206) 555-3434","roberto","S-1-5-21-331390976-2650875657-2422772959-1782","O'Hara","O'Hara","Content Management Consultant","","Seattle - Main","EMP078","Content Management Consultant in Content Management Consulting department","123 Corporate Plaza","(206) 555-3435","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Lisa Miller","True","Lisa","lisam","CN=Cesar Garcia","Lisa Miller","user","6337b7f5-b5ad-4931-b33a-9df49f032922","(206) 555-7947","lisam","S-1-5-21-331390976-2650875657-2422772959-1783","Miller","Miller","Strategy Consultant","","Seattle - Main","EMP079","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-7948","Full-time","Seattle","WA","98101"
"CRM Strategy","CN=Jason Carlson","True","Jason","jasonc","CN=Syed Abbas","Jason Carlson","user","5e5d6b8f-1344-4e70-a962-b952caeed4c1","(20) 5555-6548","jasonc","S-1-5-21-331390976-2650875657-2422772959-1784","Carlson","Carlson","CRM Consultant","","London - International","EMP080","CRM Consultant in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Strategy Consulting","CN=Jim Corbin","True","Jim","jimc","CN=David Maman","Jim Corbin","user","49c4721e-48b4-48b2-997f-633fb4afb540","(206) 555-8157","jimc","S-1-5-21-331390976-2650875657-2422772959-1785","Corbin","Corbin","Strategy Consultant","","Seattle - Main","EMP081","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-8158","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Jesus Escolar","True","Jesus","jesuse","CN=Aaron Painter","Jesus Escolar","user","49ee2aac-d40f-46a2-8520-0218b5e42a49","(206) 555-5784","jesuse","S-1-5-21-331390976-2650875657-2422772959-1786","Escolar","Escolar","Strategy Consultant","","Seattle - Main","EMP082","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-5785","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Idan Rubin","True","Idan","idanr","CN=Brad Sutton","Idan Rubin","user","0d15bba1-f9e9-48d1-98e2-34d2407e6f86","(206) 555-5862","idanr","S-1-5-21-331390976-2650875657-2422772959-1787","Rubin","Rubin","Strategy Consultant","","Seattle - Main","EMP083","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-5863","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Don Hall","True","Don","donh","CN=Ellen Adams","Don Hall","user","dcc10729-8dbe-426d-b6ac-0a95e9a2f0d7","(206) 555-3518","donh","S-1-5-21-331390976-2650875657-2422772959-1788","Hall","Hall","Strategy Consultant","","Seattle - Main","EMP084","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-3519","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Blaine Dockter","True","Blaine","blained","CN=Ellen Adams","Blaine Dockter","user","8550e839-78e9-4c42-85b7-1bfdf8aa8ed6","(206) 555-4484","blained","S-1-5-21-331390976-2650875657-2422772959-1789","Dockter","Dockter","Strategy Consultant","","Seattle - Main","EMP085","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-4485","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Anne Weiler","True","Anne","annew","CN=Cesar Garcia","Anne Weiler","user","4b6ea132-e8fa-4d67-b0e9-c194d201309d","(206) 555-6443","annew","S-1-5-21-331390976-2650875657-2422772959-1790","Weiler","Weiler","Strategy Consultant","","Seattle - Main","EMP086","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-6444","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Allison Brown","True","Allison","allisob","CN=Aaron Painter","Allison Brown","user","dda65c86-f801-448a-b447-823aee708d4e","(206) 555-5461","allisob","S-1-5-21-331390976-2650875657-2422772959-1791","Brown","Brown","Strategy Consultant","","Seattle - Main","EMP087","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-5462","Full-time","Seattle","WA","98101"
"Engineering Operations","CN=Valery Ushakov","True","Valery","valeryu","CN=Carol Troup","Valery Ushakov","user","4bbaa4f6-bf32-4895-a632-147b0450d68a","(206) 555-3599","valeryu","S-1-5-21-331390976-2650875657-2422772959-1792","Ushakov","Ushakov","Engineer","","Seattle - Engineering","EMP088","Engineer in Engineering Operations department","456 Innovation Drive","(206) 555-3600","Full-time","Seattle","WA","98102"
"CRM Strategy","CN=Tosh Meston","True","Tosh","toshm","CN=Syed Abbas","Tosh Meston","user","e01a7ab1-0498-4364-86cc-7b22410d48f3","(20) 5555-1394","toshm","S-1-5-21-331390976-2650875657-2422772959-1793","Meston","Meston","CRM Consultant","","London - International","EMP089","CRM Consultant in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Content Management Consulting","CN=Sanjay Patel","True","Sanjay","sanjayp","CN=Stan Orme","Sanjay Patel","user","eddf81c2-bd05-46d7-9795-e7890e209b45","(206) 555-5542","sanjayp","S-1-5-21-331390976-2650875657-2422772959-1794","Patel","Patel","Content Management Consultant","","Seattle - Main","EMP090","Content Management Consultant in Content Management Consulting department","123 Corporate Plaza","(206) 555-5543","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Roland Wacker","True","Roland","rolandw","CN=Aaron Painter","Roland Wacker","user","61239bbd-fdeb-422b-8efe-40edc8dffaaf","(212) 555-8236","rolandw","S-1-5-21-331390976-2650875657-2422772959-1795","Wacker","Wacker","Strategy Consultant","","New York - Strategy","EMP091","Strategy Consultant in Strategy Consulting department","456 Madison Ave","(212) 555-8237","Full-time","New York","NY","10022"
"1099 Contractor","CN=David Derwin","True","David","davidd","CN=Brian Groth","David Derwin","user","fcb614d3-c39a-4781-b7bd-8b96f5a5100d","(206) 555-7749","davidd","S-1-5-21-331390976-2650875657-2422772959-1796","Derwin","Derwin","Project Manager","","Seattle - Main","EMP092","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-7750","Contractor","Seattle","WA","98101"
"Strategy Consulting","CN=John Yokum","True","John","johny","CN=Ellen Adams","John Yokum","user","90291c8d-f900-4762-96ad-c2eb1002686d","(206) 555-8147","johny","S-1-5-21-331390976-2650875657-2422772959-1797","Yokum","Yokum","Strategy Consultant","","Seattle - Main","EMP093","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-8148","Full-time","Seattle","WA","98101"
"1099 Contractor","CN=Scott Rockfield","True","Scott","scottr","CN=Brian Groth","Scott Rockfield","user","23239dc3-116b-4947-8e54-37a574aace9e","(206) 555-5233","scottr","S-1-5-21-331390976-2650875657-2422772959-1798","Rockfield","Rockfield","Project Manager","","Seattle - Main","EMP094","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-5234","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Humberto Acevedo","True","Humberto","humbera","CN=Brian Groth","Humberto Acevedo","user","cff32e30-7047-4c64-a1d6-04d478287546","(206) 555-9549","humbera","S-1-5-21-331390976-2650875657-2422772959-1799","Acevedo","Acevedo","Project Manager","","Seattle - Main","EMP095","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-9550","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=David So","True","David","davids1","CN=Brian Groth","David So","user","b330d274-7fcd-450d-af45-1eaceca06a4c","(206) 555-1459","davids1","S-1-5-21-331390976-2650875657-2422772959-1800","So","So","Project Manager","","Seattle - Main","EMP096","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-1460","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Anders Madsen","True","Anders","andersm","CN=Brian Groth","Anders Madsen","user","09613928-992c-4328-8024-7e22919ef2b3","(206) 555-7593","andersm","S-1-5-21-331390976-2650875657-2422772959-1801","Madsen","Madsen","Project Manager","","Seattle - Main","EMP097","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-7594","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Alexandre Silva","True","Alexandre","alexans","CN=Brian Groth","Alexandre Silva","user","2ff50834-a953-426c-a3f4-397e2c7ad961","(206) 555-5413","alexans","S-1-5-21-331390976-2650875657-2422772959-1802","Silva","Silva","Project Manager","","Seattle - Main","EMP098","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-5414","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Stuart Munson","True","Stuart","stuartm","CN=Brian Groth","Stuart Munson","user","eb91a45a-463d-4fd8-9036-cbacc05860a5","(206) 555-9366","stuartm","S-1-5-21-331390976-2650875657-2422772959-1803","Munson","Munson","Project Manager","","Seattle - Main","EMP099","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-9367","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Qiong Wu","True","Qiong","qiongw","CN=Brian Groth","Qiong Wu","user","98610f21-6f4a-4c66-8b52-006eb7c51ba2","(206) 555-2342","qiongw","S-1-5-21-331390976-2650875657-2422772959-1804","Wu","Wu","Project Manager","","Seattle - Main","EMP100","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-2343","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Michiko Osada","True","Michiko","michiko","CN=Brian Groth","Michiko Osada","user","b3f2cfc1-1e7f-45e3-b54c-1ea8d259f68d","(206) 555-1577","michiko","S-1-5-21-331390976-2650875657-2422772959-1805","Osada","Osada","Project Manager","","Seattle - Main","EMP101","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-1578","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Michael Zeman","True","Michael","michaez","CN=Brian Groth","Michael Zeman","user","530fc08d-2ab3-499c-8ba8-f4ad7af64b5d","(206) 555-7177","michaez","S-1-5-21-331390976-2650875657-2422772959-1806","Zeman","Zeman","Project Manager","","Seattle - Main","EMP102","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-7178","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Maurice Taylor","True","Maurice","maurict","CN=Brian Groth","Maurice Taylor","user","a0c37074-eea7-4cf6-8fae-9d94353b9beb","(206) 555-3382","maurict","S-1-5-21-331390976-2650875657-2422772959-1807","Taylor","Taylor","Project Manager","","Seattle - Main","EMP103","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-3383","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Guido Pica","True","Guido","guidop","CN=Brian Groth","Guido Pica","user","ca7c1c08-3cac-4b77-bb44-4a7cccd7b72c","(206) 555-4724","guidop","S-1-5-21-331390976-2650875657-2422772959-1808","Pica","Pica","Project Manager","","Seattle - Main","EMP104","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-4725","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Jessica Arnold","True","Jessica","jessica","CN=Brian Groth","Jessica Arnold","user","88854ebf-d74b-4648-ae25-6a79e2e762c7","(206) 555-3415","jessica","S-1-5-21-331390976-2650875657-2422772959-1809","Arnold","Arnold","Project Manager","","Seattle - Main","EMP105","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-3416","Contractor","Seattle","WA","98101"
"Accounting","CN=Chase Carpenter","True","Chase","chasec","CN=Karim Manar","Chase Carpenter","user","60f87580-1572-419c-88ee-2e8424732e0e","(206) 555-9764","chasec","S-1-5-21-331390976-2650875657-2422772959-1810","Carpenter","Carpenter","Accountant","","Seattle - Finance","EMP106","Accountant in Accounting department","789 Financial Center","(206) 555-9765","Full-time","Seattle","WA","98103"
"1099 Contractor","CN=Terrence Phillip","True","Terrence","terrenp","CN=Jenni Merrifield","Terrence Phillip","user","bb00ed50-bc69-4871-bdbf-fadf5be62dd0","(206) 555-1678","terrenp","S-1-5-21-331390976-2650875657-2422772959-1811","Phillip","Phillip","Strategy Consultant","","Seattle - Main","EMP107","Strategy Consultant in 1099 Contractor department","123 Corporate Plaza","(206) 555-1679","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Hugo Garcia","True","Hugo","hugog","CN=Jenni Merrifield","Hugo Garcia","user","bc0cc68b-a9a2-4196-9ec9-e788801c4ab7","(206) 555-6852","hugog","S-1-5-21-331390976-2650875657-2422772959-1812","Garcia","Garcia","Strategy Consultant","","Seattle - Main","EMP108","Strategy Consultant in 1099 Contractor department","123 Corporate Plaza","(206) 555-6853","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Jeremy Los","True","Jeremy","jeremyl","CN=Jenni Merrifield","Jeremy Los","user","1e7897e2-c122-47f2-9d7f-534b584776eb","(206) 555-8792","jeremyl","S-1-5-21-331390976-2650875657-2422772959-1813","Los","Los","Strategy Consultant","","Seattle - Main","EMP109","Strategy Consultant in 1099 Contractor department","123 Corporate Plaza","(206) 555-8793","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=John Ganio","True","John","johng","CN=Jenni Merrifield","John Ganio","user","2859685c-a540-43bf-b161-9ea55e462395","(206) 555-6235","johng","S-1-5-21-331390976-2650875657-2422772959-1814","Ganio","Ganio","Strategy Consultant","","Seattle - Main","EMP110","Strategy Consultant in 1099 Contractor department","123 Corporate Plaza","(206) 555-6236","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Lina Abola","True","Lina","linaa","CN=Jenni Merrifield","Lina Abola","user","21381b8e-94bb-43df-a37a-6ce89324f411","(206) 555-4666","linaa","S-1-5-21-331390976-2650875657-2422772959-1815","Abola","Abola","Strategy Consultant","","Seattle - Main","EMP111","Strategy Consultant in 1099 Contractor department","123 Corporate Plaza","(206) 555-4667","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Mark Hanson","True","Mark","markh","CN=Jenni Merrifield","Mark Hanson","user","c6083bbc-d33d-4ee6-b1d2-623893b47535","(206) 555-7794","markh","S-1-5-21-331390976-2650875657-2422772959-1816","Hanson","Hanson","Strategy Consultant","","Seattle - Main","EMP112","Strategy Consultant in 1099 Contractor department","123 Corporate Plaza","(206) 555-7795","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Jaka Stele","True","Jaka","jakas","CN=Brian Groth","Jaka Stele","user","41e635b7-adc4-4bd4-bfcc-21dfdb116222","(206) 555-6963","jakas","S-1-5-21-331390976-2650875657-2422772959-1817","Stele","Stele","Project Manager","","Seattle - Main","EMP113","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-6964","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Steven Wright","True","Steven","stevenw","CN=Jenni Merrifield","Steven Wright","user","936a0c68-bb88-44fd-8139-4eb75ec77f73","(206) 555-3155","stevenw","S-1-5-21-331390976-2650875657-2422772959-1818","Wright","Wright","Strategy Consultant","","Seattle - Main","EMP114","Strategy Consultant in 1099 Contractor department","123 Corporate Plaza","(206) 555-3156","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Dough Mahugh","True","Dough","doughm","CN=Brian Groth","Dough Mahugh","user","8f2ba7bb-e55c-4f06-b8fc-c2f1595b684f","(206) 555-7139","doughm","S-1-5-21-331390976-2650875657-2422772959-1819","Mahugh","Mahugh","Project Manager","","Seattle - Main","EMP115","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-7140","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Andrea Dunker","True","Andrea","andread","CN=Brian Groth","Andrea Dunker","user","e9008cec-b2a8-4f45-91b1-6a09ae10cd47","(206) 555-1413","andread","S-1-5-21-331390976-2650875657-2422772959-1820","Dunker","Dunker","Project Manager","","Seattle - Main","EMP116","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-1414","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Carlos Grilo","True","Carlos","carlosg","CN=Brian Groth","Carlos Grilo","user","d7fc5e1b-279d-4263-8e46-50ddf3031fea","(206) 555-4536","carlosg","S-1-5-21-331390976-2650875657-2422772959-1821","Grilo","Grilo","Project Manager","","Seattle - Main","EMP117","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-4537","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Chris McGurk","True","Chris","chrism","CN=Brian Groth","Chris McGurk","user","0a15a779-2a72-43c3-8002-850ab93db8f0","(206) 555-1833","chrism","S-1-5-21-331390976-2650875657-2422772959-1822","McGurk","McGurk","Project Manager","","Seattle - Main","EMP118","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-1834","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Dan Bacon","True","Dan","danb","CN=Brian Groth","Dan Bacon","user","1566b672-2488-4b58-ab09-9b62d3a4b9a5","(206) 555-2464","danb","S-1-5-21-331390976-2650875657-2422772959-1823","Bacon","Bacon","Project Manager","","Seattle - Main","EMP119","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-2465","Contractor","Seattle","WA","98101"
"1099 Contractor","CN=Daniel Durrer","True","Daniel","danield","CN=Brian Groth","Daniel Durrer","user","f4a59b38-d5fa-4ae5-8afe-b4fde603dad9","(206) 555-8793","danield","S-1-5-21-331390976-2650875657-2422772959-1824","Durrer","Durrer","Project Manager","","Seattle - Main","EMP120","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-8794","Contractor","Seattle","WA","98101"
"Accounting","CN=James Wittrell","True","James","jamesw","CN=Karim Manar","James Wittrell","user","4641face-6a59-4055-bc0b-29db4b3b1672","(415) 555-2597","jamesw","S-1-5-21-331390976-2650875657-2422772959-1825","Wittrell","Wittrell","Accountant","","Seattle - Finance","EMP121","Accountant in Accounting department","789 Financial Center","(415) 555-2598","Full-time","Seattle","WA","98103"
"1099 Contractor","CN=Scott MacDonald","True","Scott","scottm","CN=Jenni Merrifield","Scott MacDonald","user","c6279aa8-6854-42af-bdee-da4f7cd7696d","(206) 555-8452","scottm","S-1-5-21-331390976-2650875657-2422772959-1826","MacDonald","MacDonald","Strategy Consultant","","Seattle - Main","EMP122","Strategy Consultant in 1099 Contractor department","123 Corporate Plaza","(206) 555-8453","Contractor","Seattle","WA","98101"
"Strategy Consulting","CN=Renee Lo","True","Renee","reneel","CN=Aaron Painter","Renee Lo","user","d20f9cd0-3cc4-4f13-8b11-8305abe0bb2b","(206) 555-6864","reneel","S-1-5-21-331390976-2650875657-2422772959-1827","Lo","Lo","Strategy Consultant","","Seattle - Main","EMP123","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-6865","Full-time","Seattle","WA","98101"
"Content Management Consulting","CN=Cari Drummelle","True","Cari","carid","CN=Stan Orme","Cari Drummelle","user","980f27ce-66f2-4fb4-8639-12849a484e92","(212) 555-3889","carid","S-1-5-21-331390976-2650875657-2422772959-1828","Drummelle","Drummelle","Content Management Consultant","","New York - Strategy","EMP124","Content Management Consultant in Content Management Consulting department","456 Madison Ave","(212) 555-3890","Full-time","New York","NY","10022"
"Content Management Consulting","CN=Alfons Parovszky","True","Alfons","alfonsp","CN=Stan Orme","Alfons Parovszky","user","d97650ab-db13-4f64-9126-f88670e1c084","(206) 555-1659","alfonsp","S-1-5-21-331390976-2650875657-2422772959-1829","Parovszky","Parovszky","Content Management Consultant","","Seattle - Main","EMP125","Content Management Consultant in Content Management Consulting department","123 Corporate Plaza","(206) 555-1660","Full-time","Seattle","WA","98101"
"Content Management Consulting","CN=Matt Hink","True","Matt","matth","CN=Stan Orme","Matt Hink","user","29dcc0c2-e14d-4eb4-8d0c-eeffee01b314","(206) 555-4157","matth","S-1-5-21-331390976-2650875657-2422772959-1830","Hink","Hink","Content Management Consultant","","Seattle - Main","EMP126","Content Management Consultant in Content Management Consulting department","123 Corporate Plaza","(206) 555-4158","Full-time","Seattle","WA","98101"
"CRM Strategy","CN=Lorraine Nay","True","Lorraine","lorrain","CN=Syed Abbas","Lorraine Nay","user","509cd11b-74bf-4d4d-a19c-1f740e7e4db7","(20) 5555-8569","lorrain","S-1-5-21-331390976-2650875657-2422772959-1831","Nay","Nay","CRM Consultant","","London - International","EMP127","CRM Consultant in CRM Strategy department","100 London Bridge St","","Full-time","London","UK","SE1 9SG"
"Strategy Consulting","CN=Iben Thorell","True","Iben","ibent","CN=Brad Sutton","Iben Thorell","user","e58f3e62-e71c-48d7-aa55-7a0606ac5ec9","(206) 555-7167","ibent","S-1-5-21-331390976-2650875657-2422772959-1832","Thorell","Thorell","Strategy Consultant","","Seattle - Main","EMP128","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-7168","Full-time","Seattle","WA","98101"
"Content Management Consulting","CN=Magnus Hedlund","True","Magnus","magnush","CN=Stan Orme","Magnus Hedlund","user","501b0760-1220-41d9-8dd0-f6be960717f8","(206) 555-7213","magnush","S-1-5-21-331390976-2650875657-2422772959-1833","Hedlund","Hedlund","Business Process Manager","","Seattle - Main","EMP129","Business Process Manager in Content Management Consulting department","123 Corporate Plaza","(206) 555-7214","Full-time","Seattle","WA","98101"
"Content Management Consulting","CN=Erik Andersen","True","Erik","erica","CN=Stan Orme","Erik Andersen","user","6b1b2f88-0f3c-429f-8ad7-1535a1dabb3e","(206) 555-6448","erica","S-1-5-21-331390976-2650875657-2422772959-1834","Andersen","Andersen","Content Management Consultant","","Seattle - Main","EMP130","Content Management Consultant in Content Management Consulting department","123 Corporate Plaza","(206) 555-6449","Full-time","Seattle","WA","98101"
"Engineering Operations","CN=Corinna Bolender","True","Corinna","corinnb","CN=Carol Troup","Corinna Bolender","user","a6a98baa-cacc-409f-beb4-22c3a807a473","(206) 555-9821","corinnb","S-1-5-21-331390976-2650875657-2422772959-1835","Bolender","Bolender","Engineer","","Seattle - Engineering","EMP131","Engineer in Engineering Operations department","456 Innovation Drive","(206) 555-9822","Full-time","Seattle","WA","98102"
"Strategy Consulting","CN=Trey Pratt","True","Trey","treyp","CN=Cesar Garcia","Trey Pratt","user","3193eddf-826d-40cb-97e5-29d899f0be96","(206) 555-2297","treyp","S-1-5-21-331390976-2650875657-2422772959-1836","Pratt","Pratt","Strategy Consultant","","Seattle - Main","EMP132","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-2298","Full-time","Seattle","WA","98101"
"Sales","CN=John Kane","True","John","johnk","CN=Jose Saraiva","John Kane","user","82919424-4615-4a6c-8922-0719b4e8c3a7","(214) 555-8332","johnk","S-1-5-21-331390976-2650875657-2422772959-1837","Kane","Kane","Salesperson","","Dallas - South","EMP133","Salesperson in Sales department","890 Commerce St","(214) 555-8333","Full-time","Dallas","TX","75202"
"Strategy Consulting","CN=Parna Khot","True","Parna","parnak","CN=Aaron Painter","Parna Khot","user","334959d2-aa9c-4a16-9de6-a81831dc5fa6","(206) 555-8454","parnak","S-1-5-21-331390976-2650875657-2422772959-1838","Khot","Khot","Strategy Consultant","","Seattle - Main","EMP134","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-8455","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Kim Ralls","True","Kim","kimr","CN=David Maman","Kim Ralls","user","230a05a1-554c-4adb-b4e5-77bb32f2e9bf","(206) 555-1443","kimr","S-1-5-21-331390976-2650875657-2422772959-1839","Ralls","Ralls","Strategy Consultant","","Seattle - Main","EMP135","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-1444","Full-time","Seattle","WA","98101"
"Strategy Consulting","CN=Jan Kotas","True","Jan","jank","CN=Brad Sutton","Jan Kotas","user","4a783fb5-dabc-4f4f-8a2f-b1c90b8efe16","(206) 555-4747","jank","S-1-5-21-331390976-2650875657-2422772959-1840","Kotas","Kotas","Strategy Consultant","","Seattle - Main","EMP136","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-4748","Full-time","Seattle","WA","98101"
"1099 Contractor","CN=Thomas Hamborg","True","Thomas","thomash","CN=Brian Groth","Thomas Hamborg","user","dd5cb399-40ae-4fd5-853f-bcf495052b81","(206) 555-4112","thomash","S-1-5-21-331390976-2650875657-2422772959-1841","Hamborg","Hamborg","Project Manager","","Seattle - Main","EMP137","Project Manager in 1099 Contractor department","123 Corporate Plaza","(206) 555-4113","Contractor","Seattle","WA","98101"
"Strategy Consulting","CN=Lolan Song","True","Lolan","lolans","CN=David Maman","Lolan Song","user","ec6c80af-e6f6-4db2-9562-3fc6e2fd7f2e","(206) 555-1913","lolans","S-1-5-21-331390976-2650875657-2422772959-1842","Song","Song","Strategy Consultant","","Seattle - Main","EMP138","Strategy Consultant in Strategy Consulting department","123 Corporate Plaza","(206) 555-1914","Full-time","Seattle","WA","98101"
"Accounting","CN=Lars Hansson","True","Lars","larsh","CN=Karim Manar","Lars Hansson","user","8006fa53-332a-4169-85b3-4ad056f4cc12","(415) 555-7777","larsh","S-1-5-21-331390976-2650875657-2422772959-1843","Hansson","Hansson","Accounting Manager","","Seattle - Finance","EMP139","Accounting Manager in Accounting department","789 Financial Center","(415) 555-7778","Full-time","Seattle","WA","98103"
