"DeviceName","DeviceType","AssignedUser","Office","Description","OperatingSystem","SerialNumber","AssetTag","IPAddress","MACAddress","LastLogon","Enabled","Department","Manufacturer","Model"
"MOBILE-045","Mobile Device","Stan Orme","Seattle - Main","Mobile device for Stan Orme","iOS 17","IMEI-045-2024","MOB-045","10.214.10.78","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"LAPTOP-075","Workstation","Stan Orme","Seattle - Main","Executive laptop for Stan Orme","Windows 11 Pro","SN-LAP-075-2024","LAP-075","10.214.10.79","00:11:22:33:EE:4B","2025-08-02 11:46:15","True","Content Management Consulting","Dell","Latitude 9330"
"SEA-PROJEC-076","Workstation","Mike Nash","Seattle - Main","Workstation for Senior Project Manager Mike Nash","Windows 11 Pro","SN076-WS-2024","AT-076","10.214.10.80","00:11:22:33:44:4C","2025-08-01 16:46:15","True","Project Management","Dell","OptiPlex 5090"
"MOBILE-046","Mobile Device","Mike Nash","Seattle - Main","Mobile device for Mike Nash","iOS 17","IMEI-046-2024","MOB-046","10.214.10.81","","2025-08-02 14:46:15","True","Project Management","Apple","iPhone 15"
"LAPTOP-076","Workstation","Mike Nash","Seattle - Main","Executive laptop for Mike Nash","Windows 11 Pro","SN-LAP-076-2024","LAP-076","10.214.10.82","00:11:22:33:EE:4C","2025-08-02 11:46:15","True","Project Management","Dell","Latitude 9330"
"SEA-STRATE-077","Workstation","Jenni Merrifield","Seattle - Main","Workstation for Strategy Consultant Jenni Merrifield","Windows 11 Pro","SN077-WS-2024","AT-077","10.214.10.83","00:11:22:33:44:4D","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-047","Mobile Device","Jenni Merrifield","Seattle - Main","Mobile device for Jenni Merrifield","iOS 17","IMEI-047-2024","MOB-047","10.214.10.84","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"SEA-OPERAT-078","Workstation","Keith Dishmo","Seattle - Main","Workstation for Procurement Manager Keith Dishmo","Windows 11 Enterprise","SN078-WS-2024","AT-078","10.214.10.85","00:11:22:33:44:4E","2025-08-01 16:46:15","True","Operations","Dell","OptiPlex 7090"
"MOBILE-048","Mobile Device","Keith Dishmo","Seattle - Main","Mobile device for Keith Dishmo","iOS 17","IMEI-048-2024","MOB-048","10.214.10.86","","2025-08-02 14:46:15","True","Operations","Apple","iPhone 15 Pro"
"LAPTOP-078","Workstation","Keith Dishmo","Seattle - Main","Executive laptop for Keith Dishmo","Windows 11 Enterprise","SN-LAP-078-2024","LAP-078","10.214.10.87","00:11:22:33:EE:4E","2025-08-02 11:46:15","True","Operations","Dell","Latitude 9330"
"SEA-SALES-079","Workstation","Jose Saraiva","Seattle - Main","Workstation for Sales Manager Jose Saraiva","Windows 11 Pro","SN079-WS-2024","AT-079","10.214.10.88","00:11:22:33:44:4F","2025-08-01 16:46:15","True","Sales","Dell","OptiPlex 5090"
"MOBILE-049","Mobile Device","Jose Saraiva","Seattle - Main","Mobile device for Jose Saraiva","iOS 17","IMEI-049-2024","MOB-049","10.214.10.89","","2025-08-02 14:46:15","True","Sales","Apple","iPhone 15"
"LAPTOP-079","Workstation","Jose Saraiva","Seattle - Main","Executive laptop for Jose Saraiva","Windows 11 Pro","SN-LAP-079-2024","LAP-079","10.214.10.90","00:11:22:33:EE:4F","2025-08-02 11:46:15","True","Sales","Dell","Latitude 9330"
"REM-SALESE-080","Workstation","Lene Aalling","Remote - Field Sales","Workstation for Sales Manager Lene Aalling","Windows 11 Pro","SN080-WS-2024","AT-080","10.214.50.10","00:11:22:33:44:50","2025-08-01 16:46:15","True","Sales Engagement Management","Dell","OptiPlex 3090"
"MOBILE-050","Mobile Device","Lene Aalling","Remote - Field Sales","Mobile device for Lene Aalling","iOS 17","IMEI-050-2024","MOB-050","10.214.50.11","","2025-08-02 14:46:15","True","Sales Engagement Management","Apple","iPhone 15"
"LAPTOP-080","Workstation","Lene Aalling","Remote - Field Sales","Executive laptop for Lene Aalling","Windows 11 Pro","SN-LAP-080-2024","LAP-080","10.214.50.12","00:11:22:33:EE:50","2025-08-02 11:46:15","True","Sales Engagement Management","Dell","Latitude 9330"
"SEA-PROJEC-081","Workstation","Barry Johnson","Seattle - Main","Workstation for Project Manager Barry Johnson","Windows 11 Pro","SN081-WS-2024","AT-081","10.214.10.91","00:11:22:33:44:51","2025-08-01 16:46:15","True","Project Management","Dell","OptiPlex 5090"
"MOBILE-051","Mobile Device","Barry Johnson","Seattle - Main","Mobile device for Barry Johnson","iOS 17","IMEI-051-2024","MOB-051","10.214.10.92","","2025-08-02 14:46:15","True","Project Management","Apple","iPhone 15"
"LAPTOP-081","Workstation","Barry Johnson","Seattle - Main","Executive laptop for Barry Johnson","Windows 11 Pro","SN-LAP-081-2024","LAP-081","10.214.10.93","00:11:22:33:EE:51","2025-08-02 11:46:15","True","Project Management","Dell","Latitude 9330"
"NYC-STRATE-082","Workstation","Ellen Adams","New York - Strategy","Workstation for Strategy Consulting Manager Ellen Adams","Windows 11 Pro","SN082-WS-2024","AT-082","10.214.26.25","00:11:22:33:44:52","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-052","Mobile Device","Ellen Adams","New York - Strategy","Mobile device for Ellen Adams","iOS 17","IMEI-052-2024","MOB-052","10.214.26.26","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"LAPTOP-082","Workstation","Ellen Adams","New York - Strategy","Executive laptop for Ellen Adams","Windows 11 Pro","SN-LAP-082-2024","LAP-082","10.214.26.27","00:11:22:33:EE:52","2025-08-02 11:46:15","True","Strategy Consulting","Dell","Latitude 9330"
"SEA-OPERAT-083","Workstation","Ben Spain","Seattle - Main","Workstation for Manager Ben Spain","Windows 11 Enterprise","SN083-WS-2024","AT-083","10.214.10.94","00:11:22:33:44:53","2025-08-01 16:46:15","True","Operations","Dell","OptiPlex 7090"
"MOBILE-053","Mobile Device","Ben Spain","Seattle - Main","Mobile device for Ben Spain","iOS 17","IMEI-053-2024","MOB-053","10.214.10.95","","2025-08-02 14:46:15","True","Operations","Apple","iPhone 15 Pro"
"LAPTOP-083","Workstation","Ben Spain","Seattle - Main","Executive laptop for Ben Spain","Windows 11 Enterprise","SN-LAP-083-2024","LAP-083","10.214.10.96","00:11:22:33:EE:53","2025-08-02 11:46:15","True","Operations","Dell","Latitude 9330"
"SEA-ENG-ENGINE-084","Workstation","David Zazzo","Seattle - Engineering","Workstation for Managing Director David Zazzo","Windows 11 Pro for Workstations","SN084-WS-2024","AT-084","10.214.14.14","00:11:22:33:44:54","2025-08-01 16:46:15","True","Engineering Operations","Dell","Precision 5570"
"MOBILE-054","Mobile Device","David Zazzo","Seattle - Engineering","Mobile device for David Zazzo","iOS 17","IMEI-054-2024","MOB-054","10.214.14.15","","2025-08-02 14:46:15","True","Engineering Operations","Apple","iPhone 15"
"LAPTOP-084","Workstation","David Zazzo","Seattle - Engineering","Executive laptop for David Zazzo","Windows 11 Pro for Workstations","SN-LAP-084-2024","LAP-084","10.214.14.16","00:11:22:33:EE:54","2025-08-02 11:46:15","True","Engineering Operations","Dell","Precision 5570"
"SEA-ENG-ENGINE-085","Workstation","Carol Troup","Seattle - Engineering","Workstation for Strategy Consulting Manager Carol Troup","Windows 11 Pro for Workstations","SN085-WS-2024","AT-085","10.214.14.17","00:11:22:33:44:55","2025-08-01 16:46:15","True","Engineering Operations","Dell","Precision 5570"
"MOBILE-055","Mobile Device","Carol Troup","Seattle - Engineering","Mobile device for Carol Troup","iOS 17","IMEI-055-2024","MOB-055","10.214.14.18","","2025-08-02 14:46:15","True","Engineering Operations","Apple","iPhone 15"
"LAPTOP-085","Workstation","Carol Troup","Seattle - Engineering","Executive laptop for Carol Troup","Windows 11 Pro for Workstations","SN-LAP-085-2024","LAP-085","10.214.14.19","00:11:22:33:EE:55","2025-08-02 11:46:15","True","Engineering Operations","Dell","Precision 5570"
"SEA-OPERAT-086","Workstation","Erika Cheley","Seattle - Main","Workstation for Manager Erika Cheley","Windows 11 Enterprise","SN086-WS-2024","AT-086","10.214.10.97","00:11:22:33:44:56","2025-08-01 16:46:15","True","Operations","Dell","OptiPlex 7090"
"MOBILE-056","Mobile Device","Erika Cheley","Seattle - Main","Mobile device for Erika Cheley","iOS 17","IMEI-056-2024","MOB-056","10.214.10.98","","2025-08-02 14:46:15","True","Operations","Apple","iPhone 15 Pro"
"LAPTOP-086","Workstation","Erika Cheley","Seattle - Main","Executive laptop for Erika Cheley","Windows 11 Enterprise","SN-LAP-086-2024","LAP-086","10.214.10.99","00:11:22:33:EE:56","2025-08-02 11:46:15","True","Operations","Dell","Latitude 9330"
"SEA-PROJEC-087","Workstation","Brian Groth","Seattle - Main","Workstation for Project Manager Brian Groth","Windows 11 Pro","SN087-WS-2024","AT-087","10.214.10.100","00:11:22:33:44:57","2025-08-01 16:46:15","True","Project Management","Dell","OptiPlex 5090"
"MOBILE-057","Mobile Device","Brian Groth","Seattle - Main","Mobile device for Brian Groth","iOS 17","IMEI-057-2024","MOB-057","10.214.10.101","","2025-08-02 14:46:15","True","Project Management","Apple","iPhone 15"
"LAPTOP-087","Workstation","Brian Groth","Seattle - Main","Executive laptop for Brian Groth","Windows 11 Pro","SN-LAP-087-2024","LAP-087","10.214.10.102","00:11:22:33:EE:57","2025-08-02 11:46:15","True","Project Management","Dell","Latitude 9330"
"LON-CRMSTR-088","Workstation","Syed Abbas","London - International","Workstation for CRM Consulting Manager Syed Abbas","Windows 11 Pro","SN088-WS-2024","AT-088","10.214.54.10","00:11:22:33:44:58","2025-08-01 16:46:15","True","CRM Strategy","Dell","OptiPlex 3090"
"MOBILE-058","Mobile Device","Syed Abbas","London - International","Mobile device for Syed Abbas","iOS 17","IMEI-058-2024","MOB-058","10.214.54.11","","2025-08-02 14:46:15","True","CRM Strategy","Apple","iPhone 15"
"LAPTOP-088","Workstation","Syed Abbas","London - International","Executive laptop for Syed Abbas","Windows 11 Pro","SN-LAP-088-2024","LAP-088","10.214.54.12","00:11:22:33:EE:58","2025-08-02 11:46:15","True","CRM Strategy","Dell","Latitude 9330"
"LON-CONTEN-089","Workstation","Peder Thode","London - International","Workstation for Content Management Consultant Peder Thode","Windows 11 Pro","SN089-WS-2024","AT-089","10.214.54.13","00:11:22:33:44:59","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-059","Mobile Device","Peder Thode","London - International","Mobile device for Peder Thode","iOS 17","IMEI-059-2024","MOB-059","10.214.54.14","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"LON-CONTEN-090","Workstation","Mary Cha","London - International","Workstation for Content Management Consultant Mary Cha","Windows 11 Pro","SN090-WS-2024","AT-090","10.214.54.15","00:11:22:33:44:5A","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-060","Mobile Device","Mary Cha","London - International","Mobile device for Mary Cha","iOS 17","IMEI-060-2024","MOB-060","10.214.54.16","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"LON-CONTEN-091","Workstation","Lisa Andrews","London - International","Workstation for Content Management Consultant Lisa Andrews","Windows 11 Pro","SN091-WS-2024","AT-091","10.214.54.17","00:11:22:33:44:5B","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-061","Mobile Device","Lisa Andrews","London - International","Mobile device for Lisa Andrews","iOS 17","IMEI-061-2024","MOB-061","10.214.54.18","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"LON-CONTEN-092","Workstation","Jim Lucey","London - International","Workstation for Content Management Consultant Jim Lucey","Windows 11 Pro","SN092-WS-2024","AT-092","10.214.54.19","00:11:22:33:44:5C","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-062","Mobile Device","Jim Lucey","London - International","Mobile device for Jim Lucey","iOS 17","IMEI-062-2024","MOB-062","10.214.54.20","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"LON-CONTEN-093","Workstation","Gareth Chan","London - International","Workstation for Content Management Consultant Gareth Chan","Windows 11 Pro","SN093-WS-2024","AT-093","10.214.54.21","00:11:22:33:44:5D","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-063","Mobile Device","Gareth Chan","London - International","Mobile device for Gareth Chan","iOS 17","IMEI-063-2024","MOB-063","10.214.54.22","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"LON-CRMSTR-094","Workstation","Karin Lamb","London - International","Workstation for CRM Consultant Karin Lamb","Windows 11 Pro","SN094-WS-2024","AT-094","10.214.54.23","00:11:22:33:44:5E","2025-08-01 16:46:15","True","CRM Strategy","Dell","OptiPlex 3090"
"MOBILE-064","Mobile Device","Karin Lamb","London - International","Mobile device for Karin Lamb","iOS 17","IMEI-064-2024","MOB-064","10.214.54.24","","2025-08-02 14:46:15","True","CRM Strategy","Apple","iPhone 15"
"LON-CONTEN-095","Workstation","David Hamilton","London - International","Workstation for CRM Consultant David Hamilton","Windows 11 Pro","SN095-WS-2024","AT-095","10.214.54.25","00:11:22:33:44:5F","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-065","Mobile Device","David Hamilton","London - International","Mobile device for David Hamilton","iOS 17","IMEI-065-2024","MOB-065","10.214.54.26","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"LON-CRMSTR-096","Workstation","Merav Sror","London - International","Workstation for CRM Consultant Merav Sror","Windows 11 Pro","SN096-WS-2024","AT-096","10.214.54.27","00:11:22:33:44:60","2025-08-01 16:46:15","True","CRM Strategy","Dell","OptiPlex 3090"
"MOBILE-066","Mobile Device","Merav Sror","London - International","Mobile device for Merav Sror","iOS 17","IMEI-066-2024","MOB-066","10.214.54.28","","2025-08-02 14:46:15","True","CRM Strategy","Apple","iPhone 15"
"LON-CONTEN-097","Workstation","Reina Cabatana","London - International","Workstation for Content Management Consultant Reina Cabatana","Windows 11 Pro","SN097-WS-2024","AT-097","10.214.54.29","00:11:22:33:44:61","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-067","Mobile Device","Reina Cabatana","London - International","Mobile device for Reina Cabatana","iOS 17","IMEI-067-2024","MOB-067","10.214.54.30","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"NYC-CONTEN-098","Workstation","Robin Young","New York - Strategy","Workstation for Content Management Consultant Robin Young","Windows 11 Pro","SN098-WS-2024","AT-098","10.214.26.28","00:11:22:33:44:62","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-068","Mobile Device","Robin Young","New York - Strategy","Mobile device for Robin Young","iOS 17","IMEI-068-2024","MOB-068","10.214.26.29","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"NYC-CONTEN-099","Workstation","Peter Saddow","New York - Strategy","Workstation for Content Management Consultant Peter Saddow","Windows 11 Pro","SN099-WS-2024","AT-099","10.214.26.30","00:11:22:33:44:63","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-069","Mobile Device","Peter Saddow","New York - Strategy","Mobile device for Peter Saddow","iOS 17","IMEI-069-2024","MOB-069","10.214.26.31","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"NYC-CONTEN-100","Workstation","Vladimir Egorov","New York - Strategy","Workstation for Content Management Consultant Vladimir Egorov","Windows 11 Pro","SN100-WS-2024","AT-100","10.214.26.32","00:11:22:33:44:64","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-070","Mobile Device","Vladimir Egorov","New York - Strategy","Mobile device for Vladimir Egorov","iOS 17","IMEI-070-2024","MOB-070","10.214.26.33","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"LON-CONTEN-101","Workstation","Esther Valle","London - International","Workstation for Content Management Consultant Esther Valle","Windows 11 Pro","SN101-WS-2024","AT-101","10.214.54.31","00:11:22:33:44:65","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-071","Mobile Device","Esther Valle","London - International","Mobile device for Esther Valle","iOS 17","IMEI-071-2024","MOB-071","10.214.54.32","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"SEA-STRATE-102","Workstation","Lori Kane","Seattle - Main","Workstation for Strategy Consultant Lori Kane","Windows 11 Pro","SN102-WS-2024","AT-102","10.214.10.103","00:11:22:33:44:66","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-072","Mobile Device","Lori Kane","Seattle - Main","Mobile device for Lori Kane","iOS 17","IMEI-072-2024","MOB-072","10.214.10.104","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"SEA-ENG-ENGINE-103","Workstation","Cliff Diddier","Seattle - Engineering","Workstation for Engineer Cliff Diddier","Windows 11 Pro for Workstations","SN103-WS-2024","AT-103","10.214.14.20","00:11:22:33:44:67","2025-08-01 16:46:15","True","Engineering Operations","Dell","Precision 5570"
"MOBILE-073","Mobile Device","Cliff Diddier","Seattle - Engineering","Mobile device for Cliff Diddier","iOS 17","IMEI-073-2024","MOB-073","10.214.14.21","","2025-08-02 14:46:15","True","Engineering Operations","Apple","iPhone 15"
"SEA-ENG-ENGINE-104","Workstation","Chen Yang","Seattle - Engineering","Workstation for Engineer Chen Yang","Windows 11 Pro for Workstations","SN104-WS-2024","AT-104","10.214.14.22","00:11:22:33:44:68","2025-08-01 16:46:15","True","Engineering Operations","Dell","Precision 5570"
"MOBILE-074","Mobile Device","Chen Yang","Seattle - Engineering","Mobile device for Chen Yang","iOS 17","IMEI-074-2024","MOB-074","10.214.14.23","","2025-08-02 14:46:15","True","Engineering Operations","Apple","iPhone 15"
"SEA-ENG-ENGINE-105","Workstation","Bernard Tham","Seattle - Engineering","Workstation for Engineer Bernard Tham","Windows 11 Pro for Workstations","SN105-WS-2024","AT-105","10.214.14.24","00:11:22:33:44:69","2025-08-01 16:46:15","True","Engineering Operations","Dell","Precision 5570"
"MOBILE-075","Mobile Device","Bernard Tham","Seattle - Engineering","Mobile device for Bernard Tham","iOS 17","IMEI-075-2024","MOB-075","10.214.14.25","","2025-08-02 14:46:15","True","Engineering Operations","Apple","iPhone 15"
"SEA-ENG-ENGINE-106","Workstation","Ari Suominen","Seattle - Engineering","Workstation for Engineer Ari Suominen","Windows 11 Pro for Workstations","SN106-WS-2024","AT-106","10.214.14.26","00:11:22:33:44:6A","2025-08-01 16:46:15","True","Engineering Operations","Dell","Precision 5570"
"MOBILE-076","Mobile Device","Ari Suominen","Seattle - Engineering","Mobile device for Ari Suominen","iOS 17","IMEI-076-2024","MOB-076","10.214.14.27","","2025-08-02 14:46:15","True","Engineering Operations","Apple","iPhone 15"
"SEA-CREATI-107","Workstation","Anu Deshpande","Seattle - Main","Workstation for Engineer Anu Deshpande","Windows 11 Pro","SN107-WS-2024","AT-107","10.214.10.105","00:11:22:33:44:6B","2025-08-01 16:46:15","True","Creative","Dell","OptiPlex 3090"
"MOBILE-077","Mobile Device","Anu Deshpande","Seattle - Main","Mobile device for Anu Deshpande","iOS 17","IMEI-077-2024","MOB-077","10.214.10.106","","2025-08-02 14:46:15","True","Creative","Apple","iPhone 15"
"SEA-ENG-ENGINE-108","Workstation","Allan Guinot","Seattle - Engineering","Workstation for Engineer Allan Guinot","Windows 11 Pro for Workstations","SN108-WS-2024","AT-108","10.214.14.28","00:11:22:33:44:6C","2025-08-01 16:46:15","True","Engineering Operations","Dell","Precision 5570"
"MOBILE-078","Mobile Device","Allan Guinot","Seattle - Engineering","Mobile device for Allan Guinot","iOS 17","IMEI-078-2024","MOB-078","10.214.14.29","","2025-08-02 14:46:15","True","Engineering Operations","Apple","iPhone 15"
"LON-CRMSTR-109","Workstation","Toby Nixon","London - International","Workstation for CRM Consultant Toby Nixon","Windows 11 Pro","SN109-WS-2024","AT-109","10.214.54.33","00:11:22:33:44:6D","2025-08-01 16:46:15","True","CRM Strategy","Dell","OptiPlex 3090"
"MOBILE-079","Mobile Device","Toby Nixon","London - International","Mobile device for Toby Nixon","iOS 17","IMEI-079-2024","MOB-079","10.214.54.34","","2025-08-02 14:46:15","True","CRM Strategy","Apple","iPhone 15"
"LON-CRMSTR-110","Workstation","Tad Orman","London - International","Workstation for CRM Consultant Tad Orman","Windows 11 Pro","SN110-WS-2024","AT-110","10.214.54.35","00:11:22:33:44:6E","2025-08-01 16:46:15","True","CRM Strategy","Dell","OptiPlex 3090"
"MOBILE-080","Mobile Device","Tad Orman","London - International","Mobile device for Tad Orman","iOS 17","IMEI-080-2024","MOB-080","10.214.54.36","","2025-08-02 14:46:15","True","CRM Strategy","Apple","iPhone 15"
"LON-CRMSTR-111","Workstation","Jeff Williams","London - International","Workstation for CRM Consultant Jeff Williams","Windows 11 Pro","SN111-WS-2024","AT-111","10.214.54.37","00:11:22:33:44:6F","2025-08-01 16:46:15","True","CRM Strategy","Dell","OptiPlex 3090"
"MOBILE-081","Mobile Device","Jeff Williams","London - International","Mobile device for Jeff Williams","iOS 17","IMEI-081-2024","MOB-081","10.214.54.38","","2025-08-02 14:46:15","True","CRM Strategy","Apple","iPhone 15"
"NYC-STRATE-112","Workstation","Frank Miller","New York - Strategy","Workstation for Strategy Consultant Frank Miller","Windows 11 Pro","SN112-WS-2024","AT-112","10.214.26.34","00:11:22:33:44:70","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-082","Mobile Device","Frank Miller","New York - Strategy","Mobile device for Frank Miller","iOS 17","IMEI-082-2024","MOB-082","10.214.26.35","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"NYC-STRATE-113","Workstation","William Vong","New York - Strategy","Workstation for Strategy Consultant William Vong","Windows 11 Pro","SN113-WS-2024","AT-113","10.214.26.36","00:11:22:33:44:71","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-083","Mobile Device","William Vong","New York - Strategy","Mobile device for William Vong","iOS 17","IMEI-083-2024","MOB-083","10.214.26.37","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"NYC-STRATE-114","Workstation","Sameer Tejani","New York - Strategy","Workstation for Strategy Consultant Sameer Tejani","Windows 11 Pro","SN114-WS-2024","AT-114","10.214.26.38","00:11:22:33:44:72","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-084","Mobile Device","Sameer Tejani","New York - Strategy","Mobile device for Sameer Tejani","iOS 17","IMEI-084-2024","MOB-084","10.214.26.39","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"SEA-STRATE-115","Workstation","Jon Jaffe","Seattle - Main","Workstation for Strategy Consultant Jon Jaffe","Windows 11 Pro","SN115-WS-2024","AT-115","10.214.10.107","00:11:22:33:44:73","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-085","Mobile Device","Jon Jaffe","Seattle - Main","Mobile device for Jon Jaffe","iOS 17","IMEI-085-2024","MOB-085","10.214.10.108","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"NYC-STRATE-116","Workstation","Mike Ray","New York - Strategy","Workstation for Strategy Consultant Mike Ray","Windows 11 Pro","SN116-WS-2024","AT-116","10.214.26.40","00:11:22:33:44:74","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-086","Mobile Device","Mike Ray","New York - Strategy","Mobile device for Mike Ray","iOS 17","IMEI-086-2024","MOB-086","10.214.26.41","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"SEA-CONTEN-117","Workstation","Robert O'Hara","Seattle - Main","Workstation for Content Management Consultant Robert O'Hara","Windows 11 Pro","SN117-WS-2024","AT-117","10.214.10.109","00:11:22:33:44:75","2025-08-01 16:46:15","True","Content Management Consulting","Dell","OptiPlex 3090"
"MOBILE-087","Mobile Device","Robert O'Hara","Seattle - Main","Mobile device for Robert O'Hara","iOS 17","IMEI-087-2024","MOB-087","10.214.10.110","","2025-08-02 14:46:15","True","Content Management Consulting","Apple","iPhone 15"
"SEA-STRATE-118","Workstation","Lisa Miller","Seattle - Main","Workstation for Strategy Consultant Lisa Miller","Windows 11 Pro","SN118-WS-2024","AT-118","10.214.10.111","00:11:22:33:44:76","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-088","Mobile Device","Lisa Miller","Seattle - Main","Mobile device for Lisa Miller","iOS 17","IMEI-088-2024","MOB-088","10.214.10.112","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"LON-CRMSTR-119","Workstation","Jason Carlson","London - International","Workstation for CRM Consultant Jason Carlson","Windows 11 Pro","SN119-WS-2024","AT-119","10.214.54.39","00:11:22:33:44:77","2025-08-01 16:46:15","True","CRM Strategy","Dell","OptiPlex 3090"
"MOBILE-089","Mobile Device","Jason Carlson","London - International","Mobile device for Jason Carlson","iOS 17","IMEI-089-2024","MOB-089","10.214.54.40","","2025-08-02 14:46:15","True","CRM Strategy","Apple","iPhone 15"
"SEA-STRATE-120","Workstation","Jim Corbin","Seattle - Main","Workstation for Strategy Consultant Jim Corbin","Windows 11 Pro","SN120-WS-2024","AT-120","10.214.10.113","00:11:22:33:44:78","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-090","Mobile Device","Jim Corbin","Seattle - Main","Mobile device for Jim Corbin","iOS 17","IMEI-090-2024","MOB-090","10.214.10.114","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"SEA-STRATE-121","Workstation","Jesus Escolar","Seattle - Main","Workstation for Strategy Consultant Jesus Escolar","Windows 11 Pro","SN121-WS-2024","AT-121","10.214.10.115","00:11:22:33:44:79","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-091","Mobile Device","Jesus Escolar","Seattle - Main","Mobile device for Jesus Escolar","iOS 17","IMEI-091-2024","MOB-091","10.214.10.116","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"SEA-STRATE-122","Workstation","Idan Rubin","Seattle - Main","Workstation for Strategy Consultant Idan Rubin","Windows 11 Pro","SN122-WS-2024","AT-122","10.214.10.117","00:11:22:33:44:7A","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-092","Mobile Device","Idan Rubin","Seattle - Main","Mobile device for Idan Rubin","iOS 17","IMEI-092-2024","MOB-092","10.214.10.118","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"SEA-STRATE-123","Workstation","Don Hall","Seattle - Main","Workstation for Strategy Consultant Don Hall","Windows 11 Pro","SN123-WS-2024","AT-123","10.214.10.119","00:11:22:33:44:7B","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-093","Mobile Device","Don Hall","Seattle - Main","Mobile device for Don Hall","iOS 17","IMEI-093-2024","MOB-093","10.214.10.120","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
"SEA-STRATE-124","Workstation","Blaine Dockter","Seattle - Main","Workstation for Strategy Consultant Blaine Dockter","Windows 11 Pro","SN124-WS-2024","AT-124","10.214.10.121","00:11:22:33:44:7C","2025-08-01 16:46:15","True","Strategy Consulting","Dell","Latitude 5530"
"MOBILE-094","Mobile Device","Blaine Dockter","Seattle - Main","Mobile device for Blaine Dockter","iOS 17","IMEI-094-2024","MOB-094","10.214.10.122","","2025-08-02 14:46:15","True","Strategy Consulting","Apple","iPhone 15"
